Version,Linux Runtime,Windows Runtime,macOS Runtime,Date
v2.0.14,go1.25.6,go1.25.6,go1.25.6,2026-02-02
v2.0.13,go1.25.5,go1.25.5,go1.25.5,2025-12-23
v2.0.12,go1.25.4,go1.25.4,go1.25.4,2025-11-24
v2.0.11,go1.25.3,go1.25.3,go1.25.3,2025-10-27
v2.0.10,go1.25.1,go1.25.1,go1.25.1,2025-09-23
v2.0.9,go1.25.1,go1.25.1,go1.25.1,2025-09-12
v2.0.8,go1.25.1,go1.25.1,go1.25.1,2025-09-08
v2.0.7,go1.25.1,go1.25.1,go1.25.1,2025-09-05
v2.0.6,go1.25.0,go1.25.0,go1.25.0,2025-09-03
v2.0.5,go1.25.0,go1.25.0,go1.25.0,2025-09-02
v2.0.4,go1.25.0,go1.25.0,go1.25.0,2025-09-01
v2.0.3,go1.25.0,go1.25.0,go1.25.0,2025-08-22
v2.0.2,go1.25.0,go1.25.0,go1.25.0,2025-08-16
v2.0.1,go1.24.6,go1.24.6,go1.24.6,2025-08-14
**v2.0.0**,go1.24.6,go1.24.6,go1.24.6,2025-08-11
**v1.30.0**,go1.24.4,go1.24.4,go1.24.4,2025-06-20
v1.29.7,go1.24.3,go1.24.3,go1.24.3,2025-05-29
v1.29.6,go1.24.2,go1.24.2,go1.24.2,2025-04-30
v1.29.5,go1.24.2,go1.24.2,go1.24.2,2025-04-12
v1.29.4,go1.24.1,go1.24.1,go1.24.1,2025-03-27
v1.29.3,go1.24.1,go1.24.1,go1.24.1,2025-03-07
v1.29.2,go1.23.4,go1.23.4,go1.23.4,2025-01-11
v1.29.1,go1.23.4,go1.23.4,go1.23.4,2025-01-09
**v1.29.0**,go1.23.4,go1.23.4,go1.23.4,2024-12-30
v1.28.1,go1.23.3,go1.23.3,go1.23.3,2024-11-24
**v1.28.0**,go1.23.2,go1.23.2,go1.23.2,2024-10-04
v1.27.12,go1.22.6,go1.22.6,go1.22.6,2024-09-06
v1.27.11,go1.22.6,go1.22.6,go1.22.6,2024-08-28
v1.27.10,go1.22.5,go1.22.5,go1.22.5,2024-07-22
v1.27.9,go1.22.4,go1.22.4,go1.22.4,2024-07-01
v1.27.8,go1.22.3,go1.22.3,go1.22.3,2024-05-30
v1.27.7,go1.22.3,go1.22.3,go1.22.3,2024-05-08
v1.27.6,go1.22.2,go1.22.2,go1.22.2,2024-04-08
v1.27.5,go1.22.1,go1.22.1,go1.22.1,2024-03-25
v1.27.4,go1.22.0,go1.22.0,go1.22.0,2024-02-27
v1.27.3,go1.21.6,go1.21.6,go1.21.6,2024-01-15
v1.27.2,go1.21.5,go1.21.5,go1.21.5,2023-12-25
v1.27.2,****,**go1.21.5**,**go1.21.5**,2023-12-25
v1.27.1,go1.21.5,go1.21.5,go1.21.5,2023-12-11
**v1.27.0**,**go1.21.4**,**go1.21.3**,**go1.21.4**,2023-11-27
v1.26.1,**go1.21.4**,**go1.21.3**,**go1.21.4**,2023-11-15
**v1.26.0**,go1.21.3,go1.21.3,go1.21.3,2023-10-24
**v1.25.0**,go1.21.1,go1.21.1,go1.21.1,2023-09-25
**v1.24.0**,go1.21.0,go1.21.0,go1.21.0,2023-08-23
v1.23.7,go1.20.7,go1.20.7,go1.20.7,2023-07-31
v1.23.6,go1.20.5,go1.20.5,go1.20.5,2023-07-03
v1.23.5,go1.20.4,go1.20.4,go1.20.4,2023-06-06
v1.23.4,**go1.20.2**,**go1.19.6**,**go1.20.2**,2023-04-05
v1.23.3,**go1.20.2**,**go1.19.6**,**go1.20.2**,2023-04-03
v1.23.2,**go1.20.1**,**go1.19.6**,**go1.20.1**,2023-02-27
v1.23.1,go1.19.5,go1.19.5,go1.19.5,2023-01-16
**v1.23.0**,go1.19.4,go1.19.4,go1.19.4,2023-01-02
v1.22.2,**go1.19.2**,**go1.19.3**,**go1.19.2**,2022-11-28
v1.22.1,**go1.19.2**,**go1.19.3**,**go1.19.2**,2022-11-02
**v1.22.0**,go1.19.1,go1.19.1,go1.19.1,2022-10-02
**v1.21.0**,go1.19,go1.19,go1.19,2022-08-16
v1.20.4,go1.18.4,go1.18.4,go1.18.4,2022-08-02
v1.20.3,go1.18.3,go1.18.3,go1.18.3,2022-06-27
v1.20.2,go1.18.3,go1.18.3,go1.18.3,2022-05-31
v1.20.0,,,,2022-05-05
v1.20.0,,,,2022-05-05
**v1.20.1**,go1.18.1,go1.18.1,go1.18.1,2022-05-04
v1.19.2,go1.17.7,go1.17.7,go1.17.7,2022-03-21
v1.19.1,go1.17.7,go1.17.7,go1.17.7,2022-02-21
**v1.19.0**,go1.17.6,go1.17.6,go1.17.6,2022-01-24
v1.18.6,go1.17.6,go1.17.6,go1.17.6,2021-12-30
v1.18.5,go1.17.3,go1.17.3,go1.17.3,2021-11-22
v1.18.4,go1.17.2,go1.17.2,go1.17.2,2021-10-24
v1.18.3,go1.17.1,go1.17.1,go1.17.1,2021-09-28
v1.18.2,go1.17,go1.17,go1.17,2021-08-22
v1.18.1,go1.16.6,go1.16.6,go1.16.6,2021-07-30
**v1.18.0**,go1.16.5,go1.16.5,go1.16.5,2021-06-21
**v1.17.0**,go1.16.4,go1.16.4,go1.16.4,2021-05-22
v1.16.1,go1.16.3,go1.16.3,go1.16.3,2021-05-05
**v1.16.0**,go1.16.3,go1.16.3,go1.16.3,2021-04-26
v1.15.1,go1.16.3,go1.16.3,go1.16.3,2021-04-06
**v1.15.0**,go1.16.3,go1.16.3,go1.16.3,2021-04-06
**v1.14.0**,go1.16,go1.16,go1.16,2021-02-26
v1.13.1,**go1.15.7**,**go1.15.7**,**go1.16**,2021-01-11
**v1.13.0**,**go1.15.7**,**go1.15.7**,**go1.16**,2021-01-11
v1.12.1,**go1.15.6**,**go1.15.6**,****,2021-01-01
v1.12.0,**go1.15.5**,**go1.15.5**,****,2020-12-12
v1.12.1,go1.15.6,go1.15.6,go1.15.6,2020-12-06
**v1.12.0**,go1.15.5,go1.15.5,go1.15.5,2020-11-27
v1.11.1,**go1.15.3**,**go1.15.3**,****,2020-11-11
v1.11.0,**go1.15.3**,**go1.15.3**,****,2020-11-11
v1.11.1,go1.15.3,go1.15.3,go1.15.3,2020-11-03
**v1.11.0**,go1.15.3,go1.15.3,go1.15.3,2020-10-22
v1.10.0,**go1.15.2**,**go1.15.2**,****,2020-10-10
**v1.10.0**,go1.15.2,go1.15.2,go1.15.2,2020-09-15
v1.9.0,**go1.15.1**,**go1.15.1**,****,2020-09-09
**v1.9.0**,go1.15.1,go1.15.1,go1.15.1,2020-08-28
v1.8.0,**go1.14.7**,**go1.14.7**,****,2020-08-08
**v1.8.0**,go1.14.7,go1.14.7,go1.14.7,2020-08-07
v1.7.1,go1.14.4,go1.14.4,go1.14.4,2020-07-11
v1.7.1,**go1.14.4**,**go1.14.4**,****,2020-07-07
v1.7.0,****,**go1.14.4**,****,2020-07-07
**v1.7.0**,go1.14.4,go1.14.4,go1.14.4,2020-06-08
v1.6.1,**go1.14.4**,**go1.14.4**,****,2020-06-06
v1.6.0,,,,2020-06-06
v1.6.0,,,,2020-06-06
